	tissue_id	sex	group
GTEX-145MI-0426-SM-5O99V	Adipose_Subcutaneous	female	train
GTEX-146FH-0226-SM-5QGPQ	Adipose_Subcutaneous	female	train
GTEX-146FR-1826-SM-5QGPF	Adipose_Subcutaneous	female	train
GTEX-147F3-0626-SM-5NQ9I	Adipose_Subcutaneous	female	train
GTEX-148VI-1726-SM-5S2W9	Adipose_Subcutaneous	female	train
GTEX-14AS3-2026-SM-5TDD9	Adipose_Subcutaneous	female	train
GTEX-14BIN-0726-SM-793DQ	Adipose_Subcutaneous	female	test
GTEX-14BMU-2126-SM-5S2TS	Adipose_Subcutaneous	female	test
GTEX-14DAQ-0226-SM-664MQ	Adipose_Subcutaneous	female	test
GTEX-14H4A-1026-SM-62LDY	Adipose_Subcutaneous	female	test
GTEX-14JG6-2326-SM-6LLH3	Adipose_Subcutaneous	female	test
GTEX-14LLW-0226-SM-62LEL	Adipose_Subcutaneous	female	test
GTEX-14PJ6-2226-SM-6LLIV	Adipose_Subcutaneous	female	test
GTEX-14PJM-0326-SM-62LF2	Adipose_Subcutaneous	female	test
GTEX-14PK6-2026-SM-6LLHP	Adipose_Subcutaneous	female	test
GTEX-14PN3-2526-SM-6EU15	Adipose_Subcutaneous	female	test
GTEX-111CU-1826-SM-5GZYN	Adipose_Subcutaneous	male	train
GTEX-111FC-0226-SM-5N9B8	Adipose_Subcutaneous	male	train
GTEX-111VG-2326-SM-5N9BK	Adipose_Subcutaneous	male	train
GTEX-111YS-2426-SM-5GZZQ	Adipose_Subcutaneous	male	train
GTEX-113IC-0226-SM-5HL5C	Adipose_Subcutaneous	male	train
GTEX-117YX-2226-SM-5EGJJ	Adipose_Subcutaneous	male	train
GTEX-11DXW-0326-SM-5H11W	Adipose_Subcutaneous	male	train
GTEX-11DZ1-0226-SM-5A5KF	Adipose_Subcutaneous	male	train
GTEX-11EI6-0226-SM-5EQ64	Adipose_Subcutaneous	male	train
GTEX-11EQ8-0226-SM-5EQ5G	Adipose_Subcutaneous	male	train
GTEX-11EQ9-2526-SM-5HL66	Adipose_Subcutaneous	male	train
GTEX-11GS4-2626-SM-5A5LD	Adipose_Subcutaneous	male	train
GTEX-11GSO-2326-SM-5A5LX	Adipose_Subcutaneous	male	train
GTEX-11H98-0226-SM-5NQ89	Adipose_Subcutaneous	male	train
GTEX-11LCK-1126-SM-5A5KC	Adipose_Subcutaneous	male	train
GTEX-11NUK-0326-SM-5HL5K	Adipose_Subcutaneous	male	train
GTEX-11O72-0226-SM-59869	Adipose_Subcutaneous	male	train
GTEX-11OF3-2426-SM-5Q5AS	Adipose_Subcutaneous	male	train
GTEX-11ONC-2526-SM-5986W	Adipose_Subcutaneous	male	train
GTEX-11P7K-2026-SM-5GU74	Adipose_Subcutaneous	male	train
GTEX-11P82-1726-SM-5Q5AT	Adipose_Subcutaneous	male	train
GTEX-11PRG-0626-SM-5BC56	Adipose_Subcutaneous	male	train
GTEX-11TT1-2426-SM-5EQMK	Adipose_Subcutaneous	male	train
GTEX-11TUW-2626-SM-5EQKZ	Adipose_Subcutaneous	male	train
GTEX-11UD2-0126-SM-5EQL2	Adipose_Subcutaneous	male	train
GTEX-11WQC-2426-SM-5EQKQ	Adipose_Subcutaneous	male	train
GTEX-11ZU8-2426-SM-5EQMV	Adipose_Subcutaneous	male	train
GTEX-11ZUS-0726-SM-59886	Adipose_Subcutaneous	male	train
GTEX-12126-0426-SM-5Q5AP	Adipose_Subcutaneous	male	train
GTEX-1212Z-2426-SM-5EQ5D	Adipose_Subcutaneous	male	train
GTEX-12584-0226-SM-5EQL5	Adipose_Subcutaneous	male	train
GTEX-12696-2526-SM-5EQLN	Adipose_Subcutaneous	male	train
GTEX-12C56-1626-SM-5FQUO	Adipose_Subcutaneous	male	train
GTEX-12KS4-0426-SM-5EQMC	Adipose_Subcutaneous	male	train
GTEX-12WSA-0326-SM-5BC6I	Adipose_Subcutaneous	male	train
GTEX-12WSC-0226-SM-5EQ52	Adipose_Subcutaneous	male	train
GTEX-12WSL-2426-SM-5GCN7	Adipose_Subcutaneous	male	train
GTEX-12WSM-0226-SM-5LZV6	Adipose_Subcutaneous	male	train
GTEX-12ZZY-0326-SM-5LZVQ	Adipose_Subcutaneous	male	train
GTEX-12ZZZ-0526-SM-5DUX6	Adipose_Subcutaneous	male	train
GTEX-13111-1726-SM-5EGJZ	Adipose_Subcutaneous	male	train
GTEX-13112-2726-SM-5DUW5	Adipose_Subcutaneous	male	train
GTEX-1314G-1626-SM-5EQ67	Adipose_Subcutaneous	male	train
GTEX-131XE-2426-SM-5EQ5V	Adipose_Subcutaneous	male	train
GTEX-131XF-2226-SM-5EQKG	Adipose_Subcutaneous	male	train
GTEX-132QS-2526-SM-62LFJ	Adipose_Subcutaneous	male	train
GTEX-1399R-2626-SM-5KLZ7	Adipose_Subcutaneous	male	train
GTEX-1399T-2726-SM-5K7XK	Adipose_Subcutaneous	male	train
GTEX-139T6-2126-SM-5KM37	Adipose_Subcutaneous	male	train
GTEX-139T8-0226-SM-5L3EA	Adipose_Subcutaneous	male	train
GTEX-139TT-0226-SM-5K7YH	Adipose_Subcutaneous	male	test
GTEX-139TU-0226-SM-5J1NM	Adipose_Subcutaneous	male	test
GTEX-139YR-2426-SM-5J1OB	Adipose_Subcutaneous	male	test
GTEX-13CF2-2626-SM-5LZZA	Adipose_Subcutaneous	male	test
GTEX-13FHO-0326-SM-5IJBH	Adipose_Subcutaneous	male	test
GTEX-13FHP-0226-SM-5K7WD	Adipose_Subcutaneous	male	test
GTEX-13FTW-2526-SM-5IJC8	Adipose_Subcutaneous	male	test
GTEX-13G51-2626-SM-5LZYW	Adipose_Subcutaneous	male	test
GTEX-13IVO-0226-SM-5LZXU	Adipose_Subcutaneous	male	test
GTEX-13JVG-0226-SM-5J1MW	Adipose_Subcutaneous	male	test
GTEX-1117F-0426-SM-5EGHI	Muscle_Skeletal	female	female_test
GTEX-1122O-2426-SM-5GIDN	Muscle_Skeletal	female	female_test
GTEX-1128S-2426-SM-5H11B	Muscle_Skeletal	female	female_test
GTEX-113JC-2726-SM-5EGIS	Muscle_Skeletal	female	train
GTEX-11DXX-2726-SM-5PNXO	Muscle_Skeletal	female	train
GTEX-11EM3-2126-SM-5H11M	Muscle_Skeletal	female	train
GTEX-11EMC-2626-SM-59864	Muscle_Skeletal	female	train
GTEX-11GSP-2726-SM-5A5LJ	Muscle_Skeletal	female	train
GTEX-11I78-2426-SM-5A5K9	Muscle_Skeletal	female	train
GTEX-11P81-2526-SM-5GU6H	Muscle_Skeletal	female	train
GTEX-11TTK-0326-SM-5BC5N	Muscle_Skeletal	female	train
GTEX-11UD1-0326-SM-5EQKX	Muscle_Skeletal	female	train
GTEX-11VI4-1926-SM-5CVLI	Muscle_Skeletal	female	train
GTEX-11XUK-2226-SM-5CVLL	Muscle_Skeletal	female	train
GTEX-11ZTS-0526-SM-5CVL9	Muscle_Skeletal	female	train
GTEX-11ZTT-2626-SM-5EQKK	Muscle_Skeletal	female	train
GTEX-11ZVC-2726-SM-5FQSZ	Muscle_Skeletal	female	train
GTEX-1211K-2126-SM-59HJZ	Muscle_Skeletal	female	train
GTEX-1269C-2626-SM-5EQ5C	Muscle_Skeletal	female	train
GTEX-12WSD-0526-SM-5EQ6F	Muscle_Skeletal	female	train
GTEX-12WSJ-1726-SM-5LZVV	Muscle_Skeletal	female	train
GTEX-12ZZX-0326-SM-5DUVH	Muscle_Skeletal	female	train
GTEX-1313W-0526-SM-5P9FZ	Muscle_Skeletal	female	train
GTEX-131XG-2326-SM-5HL8F	Muscle_Skeletal	female	train
GTEX-131XW-0326-SM-5KM1J	Muscle_Skeletal	female	train
GTEX-131YS-0526-SM-5EGKJ	Muscle_Skeletal	female	train
GTEX-132AR-1026-SM-5PNVL	Muscle_Skeletal	female	train
GTEX-133LE-2026-SM-5K7WM	Muscle_Skeletal	female	train
GTEX-1399S-2726-SM-5KM22	Muscle_Skeletal	female	train
GTEX-1399U-2526-SM-5L3DL	Muscle_Skeletal	female	train
GTEX-139D8-0726-SM-5P9GJ	Muscle_Skeletal	female	train
GTEX-139T4-0326-SM-5K7XN	Muscle_Skeletal	female	train
GTEX-13CF3-1826-SM-5J1NK	Muscle_Skeletal	female	train
GTEX-13D11-2526-SM-5KM28	Muscle_Skeletal	female	train
GTEX-13FH7-2126-SM-5L3DJ	Muscle_Skeletal	female	train
GTEX-13FTX-2026-SM-5L3D6	Muscle_Skeletal	female	train
GTEX-13FTY-0226-SM-5IJBW	Muscle_Skeletal	female	train
GTEX-13JUV-2326-SM-5IJCE	Muscle_Skeletal	female	train
GTEX-13N11-2726-SM-5L3ER	Muscle_Skeletal	female	train
GTEX-13O3O-0526-SM-5J1NL	Muscle_Skeletal	female	train
GTEX-13OVI-1726-SM-5L3DW	Muscle_Skeletal	female	train
GTEX-13OVJ-0226-SM-5L3GK	Muscle_Skeletal	female	train
GTEX-13PL6-0326-SM-5IJCP	Muscle_Skeletal	female	train
GTEX-13PL7-0626-SM-5IJCD	Muscle_Skeletal	female	train
GTEX-13PLJ-0326-SM-5L3I7	Muscle_Skeletal	female	train
GTEX-13PVR-2526-SM-5RQIT	Muscle_Skeletal	female	train
GTEX-13QBU-2426-SM-5LU4L	Muscle_Skeletal	female	train
GTEX-13QIC-1226-SM-5K7YR	Muscle_Skeletal	female	train
GTEX-13S7M-0326-SM-5S2PH	Muscle_Skeletal	female	train
GTEX-13SLX-0326-SM-5Q5E4	Muscle_Skeletal	female	train
GTEX-13U4I-1826-SM-5IJD2	Muscle_Skeletal	female	train
GTEX-13VXT-0326-SM-5LU4U	Muscle_Skeletal	female	train
GTEX-13W3W-2626-SM-5SIA2	Muscle_Skeletal	female	train
GTEX-13X6H-2326-SM-7EWEB	Muscle_Skeletal	female	test
GTEX-13X6K-0326-SM-5Q5D6	Muscle_Skeletal	female	test
GTEX-145LS-0526-SM-5LU8Y	Muscle_Skeletal	female	test
GTEX-145ME-2026-SM-5SIA5	Muscle_Skeletal	female	test
GTEX-145MI-0326-SM-5Q5EV	Muscle_Skeletal	female	test
GTEX-146FH-0526-SM-5QGQ3	Muscle_Skeletal	female	test
GTEX-146FR-1726-SM-5Q5DT	Muscle_Skeletal	female	test
GTEX-147F3-0226-SM-5NQBV	Muscle_Skeletal	female	test
GTEX-14A5I-0326-SM-5NQ9J	Muscle_Skeletal	female	test
GTEX-14AS3-2126-SM-5S2MK	Muscle_Skeletal	female	test
GTEX-111CU-2026-SM-5GZZC	Muscle_Skeletal	male	train
GTEX-111FC-0326-SM-5GZZ1	Muscle_Skeletal	male	train
GTEX-111VG-2626-SM-5GZY2	Muscle_Skeletal	male	train
GTEX-111YS-2326-SM-5987L	Muscle_Skeletal	male	train
GTEX-117XS-2526-SM-5H11G	Muscle_Skeletal	male	train
GTEX-117YW-2426-SM-5Q5AE	Muscle_Skeletal	male	train
GTEX-117YX-2526-SM-5EQ4Q	Muscle_Skeletal	male	train
GTEX-1192X-0426-SM-5GIEE	Muscle_Skeletal	male	train
GTEX-11DXW-0726-SM-5H12J	Muscle_Skeletal	male	train
GTEX-11DXY-2726-SM-5GID2	Muscle_Skeletal	male	train
GTEX-11DXZ-2426-SM-5N9DT	Muscle_Skeletal	male	train
GTEX-11DZ1-0926-SM-5EQ5R	Muscle_Skeletal	male	train
GTEX-11EI6-0326-SM-5EQ6G	Muscle_Skeletal	male	train
GTEX-11EQ8-0526-SM-5N9BC	Muscle_Skeletal	male	train
GTEX-11EQ9-2126-SM-5PNVW	Muscle_Skeletal	male	train
GTEX-11GS4-2526-SM-5A5KT	Muscle_Skeletal	male	train
GTEX-11GSO-2526-SM-5PNVX	Muscle_Skeletal	male	train
GTEX-11H98-0326-SM-5HL4S	Muscle_Skeletal	male	train
GTEX-11LCK-1226-SM-5Q5AM	Muscle_Skeletal	male	train
GTEX-11NSD-2026-SM-5HL5U	Muscle_Skeletal	male	train
GTEX-11NUK-0226-SM-5A5L4	Muscle_Skeletal	male	train
GTEX-11NV4-0326-SM-5HL58	Muscle_Skeletal	male	train
GTEX-11O72-0326-SM-5986D	Muscle_Skeletal	male	train
GTEX-11OC5-0326-SM-5PNW5	Muscle_Skeletal	male	train
GTEX-11OF3-2526-SM-5P9JL	Muscle_Skeletal	male	train
GTEX-11ONC-2426-SM-5GU7H	Muscle_Skeletal	male	train
GTEX-11P7K-1926-SM-5GU6R	Muscle_Skeletal	male	train
GTEX-11P82-1826-SM-5PNYJ	Muscle_Skeletal	male	train
GTEX-11PRG-0326-SM-5GU53	Muscle_Skeletal	male	train
GTEX-11TT1-2326-SM-5GU6N	Muscle_Skeletal	male	train
GTEX-11TUW-2526-SM-5EQKN	Muscle_Skeletal	male	train
GTEX-11UD2-0326-SM-5EQLE	Muscle_Skeletal	male	train
GTEX-11WQC-2626-SM-5CVLF	Muscle_Skeletal	male	train
GTEX-11WQK-0726-SM-5GU71	Muscle_Skeletal	male	train
GTEX-11ZU8-2326-SM-5EQMJ	Muscle_Skeletal	male	train
GTEX-11ZUS-1426-SM-5FQSP	Muscle_Skeletal	male	train
GTEX-12126-0526-SM-5PNW4	Muscle_Skeletal	male	train
GTEX-1212Z-2626-SM-5YY8P	Muscle_Skeletal	male	train
GTEX-12584-0526-SM-5FQTS	Muscle_Skeletal	male	train
GTEX-12696-2826-SM-5FQTY	Muscle_Skeletal	male	train
GTEX-12BJ1-2526-SM-5FQUE	Muscle_Skeletal	male	train
GTEX-12C56-1926-SM-5FQUG	Muscle_Skeletal	male	train
GTEX-12KS4-0826-SM-5BC5R	Muscle_Skeletal	male	train
GTEX-12WSA-0726-SM-5FQU2	Muscle_Skeletal	male	train
GTEX-12WSC-0326-SM-5EQ5E	Muscle_Skeletal	male	train
GTEX-12WSF-0926-SM-6PALU	Muscle_Skeletal	male	train
GTEX-12WSH-2526-SM-5CVNH	Muscle_Skeletal	male	train
GTEX-12WSL-2726-SM-5CVNL	Muscle_Skeletal	male	train
GTEX-12WSM-0326-SM-5LZVI	Muscle_Skeletal	male	train
GTEX-12WSN-2526-SM-5LZU8	Muscle_Skeletal	male	train
GTEX-12ZZY-0626-SM-5EQ5T	Muscle_Skeletal	male	test
GTEX-12ZZZ-0226-SM-59HKU	Muscle_Skeletal	male	test
GTEX-13111-2226-SM-5LZUE	Muscle_Skeletal	male	test
GTEX-13112-2626-SM-5BC66	Muscle_Skeletal	male	test
GTEX-1314G-1726-SM-5LZUX	Muscle_Skeletal	male	test
GTEX-131XE-2726-SM-5P9G7	Muscle_Skeletal	male	test
GTEX-131XF-2326-SM-5BC6B	Muscle_Skeletal	male	test
GTEX-131XH-2726-SM-5GCO2	Muscle_Skeletal	male	test
GTEX-132NY-0726-SM-5KLZM	Muscle_Skeletal	male	test
GTEX-132Q8-0626-SM-5L3F3	Muscle_Skeletal	male	test
GTEX-1117F-2826-SM-5GZXL	Breast_Mammary_Tissue	female	female_test
GTEX-1122O-1226-SM-5H113	Breast_Mammary_Tissue	female	female_test
GTEX-11EM3-1326-SM-5N9C6	Breast_Mammary_Tissue	female	female_test
GTEX-11EMC-2026-SM-5A5JV	Breast_Mammary_Tissue	female	train
GTEX-11GSP-0926-SM-9WYSG	Breast_Mammary_Tissue	female	train
GTEX-11I78-2226-SM-5PNYA	Breast_Mammary_Tissue	female	train
GTEX-11P81-1926-SM-5BC53	Breast_Mammary_Tissue	female	train
GTEX-11ZTT-2326-SM-5EQLG	Breast_Mammary_Tissue	female	train
GTEX-1211K-1926-SM-5EQLB	Breast_Mammary_Tissue	female	train
GTEX-1269C-2426-SM-5FQSN	Breast_Mammary_Tissue	female	train
GTEX-12WSK-2226-SM-5GCO5	Breast_Mammary_Tissue	female	train
GTEX-12ZZX-1126-SM-5EGKB	Breast_Mammary_Tissue	female	train
GTEX-1313W-0826-SM-5EQ4T	Breast_Mammary_Tissue	female	train
GTEX-131XW-0726-SM-5EGK3	Breast_Mammary_Tissue	female	train
GTEX-131YS-0626-SM-5EGKL	Breast_Mammary_Tissue	female	train
GTEX-132AR-0826-SM-5EGK6	Breast_Mammary_Tissue	female	train
GTEX-133LE-1726-SM-5K7VQ	Breast_Mammary_Tissue	female	train
GTEX-1399U-1826-SM-5PNZ1	Breast_Mammary_Tissue	female	train
GTEX-13CF3-2126-SM-5IFJP	Breast_Mammary_Tissue	female	train
GTEX-13D11-1026-SM-5IJFB	Breast_Mammary_Tissue	female	train
GTEX-13FTX-1126-SM-5N9EN	Breast_Mammary_Tissue	female	train
GTEX-13FTY-2226-SM-5J1ND	Breast_Mammary_Tissue	female	train
GTEX-13N11-1726-SM-5J1OJ	Breast_Mammary_Tissue	female	train
GTEX-13NZ8-0126-SM-5IJCT	Breast_Mammary_Tissue	female	train
GTEX-13O3O-0826-SM-5K7WE	Breast_Mammary_Tissue	female	train
GTEX-13PL6-2926-SM-5L3I2	Breast_Mammary_Tissue	female	train
GTEX-13PVR-2226-SM-7DHKP	Breast_Mammary_Tissue	female	train
GTEX-13QIC-2326-SM-5LU5N	Breast_Mammary_Tissue	female	train
GTEX-13SLX-2326-SM-5ZZWE	Breast_Mammary_Tissue	female	train
GTEX-13W3W-1226-SM-5LU4H	Breast_Mammary_Tissue	female	train
GTEX-145ME-1526-SM-5Q5F2	Breast_Mammary_Tissue	female	train
GTEX-146FH-0826-SM-5SI8T	Breast_Mammary_Tissue	female	train
GTEX-14A5I-0726-SM-5TDEB	Breast_Mammary_Tissue	female	train
GTEX-14AS3-1626-SM-5S2OY	Breast_Mammary_Tissue	female	train
GTEX-14BMU-1626-SM-5TDE7	Breast_Mammary_Tissue	female	train
GTEX-14H4A-2526-SM-5YYAY	Breast_Mammary_Tissue	female	train
GTEX-14LLW-0626-SM-62LFC	Breast_Mammary_Tissue	female	train
GTEX-14PHY-1926-SM-5YY95	Breast_Mammary_Tissue	female	train
GTEX-14PKU-0426-SM-6EU1P	Breast_Mammary_Tissue	female	train
GTEX-15ER7-1626-SM-6PAMZ	Breast_Mammary_Tissue	female	train
GTEX-15ETS-0626-SM-7KUMX	Breast_Mammary_Tissue	female	train
GTEX-15FZZ-0726-SM-7KUFZ	Breast_Mammary_Tissue	female	train
GTEX-15UF6-0126-SM-6PAMB	Breast_Mammary_Tissue	female	train
GTEX-16BQI-1026-SM-7KUEA	Breast_Mammary_Tissue	female	train
GTEX-16NGA-0826-SM-718AF	Breast_Mammary_Tissue	female	train
GTEX-17F98-0526-SM-79OK5	Breast_Mammary_Tissue	female	train
GTEX-17HG3-0126-SM-7IGNH	Breast_Mammary_Tissue	female	train
GTEX-17JCI-0726-SM-7EPH1	Breast_Mammary_Tissue	female	train
GTEX-183WM-0726-SM-7LTAA	Breast_Mammary_Tissue	female	train
GTEX-18A7A-0726-SM-7LTAI	Breast_Mammary_Tissue	female	train
GTEX-18D9A-1526-SM-7LG4J	Breast_Mammary_Tissue	female	train
GTEX-1AMEY-1026-SM-718AA	Breast_Mammary_Tissue	female	train
GTEX-1B932-0826-SM-73KXG	Breast_Mammary_Tissue	female	train
GTEX-1B933-2526-SM-7IGO5	Breast_Mammary_Tissue	female	test
GTEX-1B97J-0426-SM-79OLQ	Breast_Mammary_Tissue	female	test
GTEX-1C475-1226-SM-7SB72	Breast_Mammary_Tissue	female	test
GTEX-1CAMS-1426-SM-7IGPM	Breast_Mammary_Tissue	female	test
GTEX-1EWIQ-1726-SM-7SB7T	Breast_Mammary_Tissue	female	test
GTEX-1F5PL-1026-SM-7RHI1	Breast_Mammary_Tissue	female	test
GTEX-1GF9U-1726-SM-7MGY5	Breast_Mammary_Tissue	female	test
GTEX-1GF9X-1026-SM-ACKX2	Breast_Mammary_Tissue	female	test
GTEX-1GMR8-0726-SM-9KNVI	Breast_Mammary_Tissue	female	test
GTEX-1GN1U-0526-SM-9KNTT	Breast_Mammary_Tissue	female	test
GTEX-111YS-1926-SM-5GICC	Breast_Mammary_Tissue	male	train
GTEX-117XS-1926-SM-5GICO	Breast_Mammary_Tissue	male	train
GTEX-117YX-1426-SM-5H12H	Breast_Mammary_Tissue	male	train
GTEX-1192X-2326-SM-5987X	Breast_Mammary_Tissue	male	train
GTEX-11DXW-0626-SM-5N9ER	Breast_Mammary_Tissue	male	train
GTEX-11DXY-2326-SM-5GICW	Breast_Mammary_Tissue	male	train
GTEX-11DXZ-1926-SM-5GZZL	Breast_Mammary_Tissue	male	train
GTEX-11DZ1-0326-SM-5N9BN	Breast_Mammary_Tissue	male	train
GTEX-11EI6-0626-SM-5985T	Breast_Mammary_Tissue	male	train
GTEX-11EQ9-1826-SM-5Q5AJ	Breast_Mammary_Tissue	male	train
GTEX-11GS4-2126-SM-5A5KR	Breast_Mammary_Tissue	male	train
GTEX-11GSO-1926-SM-5A5K3	Breast_Mammary_Tissue	male	train
GTEX-11LCK-2426-SM-5HL5F	Breast_Mammary_Tissue	male	train
GTEX-11NSD-0926-SM-5N9DR	Breast_Mammary_Tissue	male	train
GTEX-11NV4-2026-SM-5N9DG	Breast_Mammary_Tissue	male	train
GTEX-11O72-2126-SM-5N9FO	Breast_Mammary_Tissue	male	train
GTEX-11OF3-1926-SM-59889	Breast_Mammary_Tissue	male	train
GTEX-11ONC-2126-SM-5HL6E	Breast_Mammary_Tissue	male	train
GTEX-11P7K-0726-SM-5EGKX	Breast_Mammary_Tissue	male	train
GTEX-11P82-1326-SM-5HL62	Breast_Mammary_Tissue	male	train
GTEX-11PRG-0826-SM-5EQ6A	Breast_Mammary_Tissue	male	train
GTEX-11TT1-2126-SM-5GU5Y	Breast_Mammary_Tissue	male	train
GTEX-11TUW-1826-SM-5BC5D	Breast_Mammary_Tissue	male	train
GTEX-11WQC-1726-SM-5GU4W	Breast_Mammary_Tissue	male	train
GTEX-11WQK-2426-SM-5GU5C	Breast_Mammary_Tissue	male	train
GTEX-11ZUS-0826-SM-5FQUY	Breast_Mammary_Tissue	male	train
GTEX-12BJ1-1826-SM-5HL9N	Breast_Mammary_Tissue	male	train
GTEX-12KS4-0126-SM-5Q5A5	Breast_Mammary_Tissue	male	train
GTEX-12WSM-1726-SM-5BC6J	Breast_Mammary_Tissue	male	train
GTEX-12WSN-1326-SM-5GCNT	Breast_Mammary_Tissue	male	train
GTEX-1314G-1226-SM-5BC6D	Breast_Mammary_Tissue	male	train
GTEX-132NY-0826-SM-5K7Y7	Breast_Mammary_Tissue	male	train
GTEX-132Q8-1426-SM-5EGK7	Breast_Mammary_Tissue	male	train
GTEX-139T6-1626-SM-5PNYZ	Breast_Mammary_Tissue	male	train
GTEX-139T8-0826-SM-5L3DE	Breast_Mammary_Tissue	male	train
GTEX-139TU-0626-SM-5KM3X	Breast_Mammary_Tissue	male	train
GTEX-13CF2-2026-SM-5K7VI	Breast_Mammary_Tissue	male	train
GTEX-13FHO-0826-SM-5L3E8	Breast_Mammary_Tissue	male	train
GTEX-13FTW-1426-SM-5LZWZ	Breast_Mammary_Tissue	male	train
GTEX-13N1W-0626-SM-5MR4U	Breast_Mammary_Tissue	male	train
GTEX-13NZ9-1026-SM-5MR5K	Breast_Mammary_Tissue	male	train
GTEX-13NZB-2126-SM-5MR4Y	Breast_Mammary_Tissue	male	train
GTEX-13O3P-0826-SM-5L3DH	Breast_Mammary_Tissue	male	train
GTEX-13O3Q-2226-SM-5KM4O	Breast_Mammary_Tissue	male	train
GTEX-13O61-1826-SM-5KM4I	Breast_Mammary_Tissue	male	train
GTEX-13OW5-2226-SM-5L3HC	Breast_Mammary_Tissue	male	train
GTEX-13OW8-0226-SM-5K7UP	Breast_Mammary_Tissue	male	train
GTEX-13PVQ-1026-SM-5KM3M	Breast_Mammary_Tissue	male	train
GTEX-13QJ3-0826-SM-7DHKK	Breast_Mammary_Tissue	male	train
GTEX-13S86-1226-SM-5S2OA	Breast_Mammary_Tissue	male	train
GTEX-13SLW-2526-SM-62LDQ	Breast_Mammary_Tissue	male	test
GTEX-13VXU-2826-SM-664MA	Breast_Mammary_Tissue	male	test
GTEX-13W46-0826-SM-5LU3H	Breast_Mammary_Tissue	male	test
GTEX-144GL-2026-SM-5LU3O	Breast_Mammary_Tissue	male	test
